"#","Reference","Qty","MPN","Description","Value","Package","Link","LCSC","DNP"
"24","U11","1","BQ25180","5.5V Lithium-ion/Polymer 1 1A DSBGA-8(1.1x1.6) Battery Management ROHS","BQ25180","DSBGA-8(1.1x1.6) ","https://www.lcsc.com/product-detail/Battery-Management_Texas-Instruments-BQ25180YBGR_C3682423.html ","C3682423",""
"25","IC1","1","BQ27621YZFR-G1A","System-Side Fuel Gauge with Dynamic Voltage Correlation, Battery Gas Gauge","BQ27621YZFR-G1A","DSBGA-9","https://www.lcsc.com/product-detail/C544417.html?s_z=n_BQ27621YZFR-G1A","C544417",""
"26","Q3,Q4","2","BSS138DW-7-F","50V 200mA 200mW 3.5Ω@10V,220mA 1.5V@250uA 2 N-Channel SC-70-6(SOT-363) MOSFETs ROHS","BSS138DW","SC-70-6(SOT-363)","https://www.lcsc.com/product-detail/MOSFETs_Diodes-Incorporated-BSS138DW-7-F_C154900.html","C154900",""
"27","J4,J5","2","5051100492","-40℃~+105℃ Hinged Lid 4P 0.5mm 500mA 50V Bottom Contact Surface Mount, Right Angle SMD,P=0.5mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies RoHS","Conn_01x04_Socket","SMD,P=0.5mm,Surface Mount,Right Angle","https://www.lcsc.com/product-detail/C588007.html?s_z=n_5051100492","C588007",""
"28","D1,D9,D10","3","CUS08F30,H3F","SOD-323 Schottky Diodes ROHS","CUS08F30,H3F","SOD-323 ","https://www.lcsc.com/product-detail/Schottky-Diodes_TOSHIBA-CUS08F30-H3F_C150183.html?s_z=n_C150183","C150183",""
"29","U9","1","GD25Q80EEIGR","8Mbit 133MHz USON-8-EP(2x3) NOR FLASH ROHS","GD25Q80EEIGR","USON-8-EP(2x3) ","https://www.lcsc.com/product-detail/NOR-FLASH_GigaDevice-Semicon-Beijing-GD25Q80EEIGR_C2874937.html","C2874937",""
"30","SW6","1","GL1807SYAE-002","TMR Analog Stick with button","GL18_SW","","","",""
"31","D3,D6,D7,D14,D15,D16","6","B5819WT","40V Independent Type 1A 550mV SOD-523 Schottky Diodes ROHS","M7C","SOD-523 ","https://www.lcsc.com/product-detail/Schottky-Diodes_LGE-B5819WT_C5364321.html","C5364321",""
"32","Q5,Q6","2","MMBT2222A","600mA Ic, 40V Vce, NPN Transistor, SOT-23","MMBT2222A"," SOT-23","https://www.lcsc.com/product-detail/Bipolar-BJT_JSMSEMI-MMBT2222A_C916372.html","C916372",""
"33","J3","1","5051100792","-40℃~+105℃ Hinged Lid 7P Bottom Contact Surface Mount, Right Angle 0.5mm SMD,P=0.5mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","Molex 5051100792","SMD,P=0.5mm,Surface Mount,Right Angle","https://lcsc.com/product-detail/FFC-FPC-Flat-Flexible-Connector-Assemblies_MOLEX-5051100792_C6689159.html?s_z=n_5051100792","C6689159",""
"34","U8","1","RP2040","264KB 30 133MHz LQFN-56(7x7) Microcontrollers","RP2040","LQFN-56(7x7)","https://www.lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_Raspberry-Pi-RP2040_C2040.html","C2040",""
"35","P1","1","RPI-RM2","Raspberry Pi RM2 Wireless Module","RPI-RM2","","","",""
"36","L1,L2,L3,L4,L6,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19","17","SK6805-EC-10","0606 RGB LEDs(Built-in IC) ROHS","SK6805-EC-10","0606","","",""
"37","J1,J10","2","SM02B-SURS-TF(LF)(SN)","Connector Header Surface Mount, Right Angle 2 position 0.031 (0.80mm)","SM02B-SURS-TF_LF__SN_","SMD,P=0.8mm,Surface Mount，Right Angle","https://www.lcsc.com/product-detail/Wire-To-Board-Connector_JST-SM02B-SURS-TF-LF-SN_C566239.html","C566239",""
"38","U5,U10","2","LSM6DSRTR","Accelerometer gyroscope LGA-14(2.5x3) Accelerometers ROHS","ST_LSM6","LGA-14(2.5x3) ","https://www.lcsc.com/product-detail/Accelerometers_STMicroelectronics-LSM6DSRTR_C784817.html","C784817",""
"39","SW7,SW8","2","TC-00100V H5.0 100gf","Custom right angle silicone tactile switch 5mm button height","SW_Push","-","-","-",""
"40","S7","1","TMUX1204DQAR","Multiplexer Switch ICs 5-V 4:1 general-purpose analog multiplexer 10-USON -40 to 125","TMUX1204DQAR","USON-10(1x2.5)","","C1849379",""
"41","U4","1","TPS63001DRCR","High efficiency Buck-Boost Converter with 1.8A Current Switches in 3x3 QFN","TPS630001RCR","VSON-10 Texas Instruments","https://www.lcsc.com/product-detail/DC-DC-Converters_Texas-Instruments-TPS63001DRCR_C28060.html","C28060",""
"42","SW5,SW9,SW14,SW17,SW18,SW19","6","TS-1187A-C-E-B","Single Pole Single Throw (SPST) switch","TS-1187A-C-A-B","SMD","https://www.lcsc.com/product-detail/Tactile-Switches_XKB-Connection-TS-1187A-C-A-B_C480267.html","C480267",""
"43","J11","1","USB4056-03-A2","USB Connectors USB C 3.2 Rec, Horz, Hybrid PCB Top Mount, T+R","USB4056-03-A2","","https://gct.co/files/specs/usb4056-spec.pdf","",""
"44","U1,U2,U3","3","USBLC6-2P6","Very low capacitance ESD protection diode, 2 data-line, SOT-666","USBLC6-2P6","SOT-666-6","","C2827693",""
